,Difference score
Dorsal tegmental nucleus,-0.1890812539637441
Supraoculomotor periaqueductal gray,-0.17973769752727872
"Primary somatosensory area, nose, layer 6a",-0.1793651175314093
"Paraventricular hypothalamic nucleus, descending division",-0.17854823997825164
dorsal hippocampal commissure,-0.17843896417373864
"Taenia tecta, dorsal part",-0.17651150207217592
"Anterior cingulate area, dorsal part, layer 6b",-0.1755721474793803
"Agranular insular area, dorsal part, layer 6a",-0.17207618683962098
"Infralimbic area, layer 2/3",-0.17107638849380963
"Gustatory areas, layer 5",-0.16572769963600986
"Superior colliculus, optic layer",-0.16331075288006286
motor root of the trigeminal nerve,-0.16171277126139916
"Dorsal part of the lateral geniculate complex, ipsilateral zone",-0.15723705091282714
Pontine gray,-0.15611469611414933
"Visceral area, layer 6a",-0.15369297586510494
"Ventral auditory area, layer 6a",-0.15198460737984032
"Ventral auditory area, layer 4",-0.15129763080410416
"Orbital area, lateral part, layer 6b",-0.15055758295701907
optic tract,-0.1439479157280411
"Anteromedial nucleus, dorsal part",-0.1416974950082014
Parvicellular reticular nucleus,-0.13865255352114025
Piriform-amygdalar area,-0.13743549479686082
"Lateral septal nucleus, ventral part",-0.13183331233833906
"Temporal association areas, layer 4",-0.13149607618397868
"Superior olivary complex, lateral part",-0.13140366277745044
"Gustatory areas, layer 4",-0.13126215405835548
Superior central nucleus raphe,-0.13039565141516346
"Anterior cingulate area, dorsal part, layer 6a",-0.13000546973271102
Lateral dorsal nucleus of thalamus,-0.12849212180315725
Intercalated amygdalar nucleus,-0.1284700176645311
"Primary somatosensory area, mouth, layer 5",-0.12377031846507502
"Primary auditory area, layer 6a",-0.11918463762693665
commissural branch of stria terminalis,-0.11791064399154988
lateral lemniscus,-0.1174087366015785
"Rostrolateral area, layer 6b",-0.11674875557917494
"Tuberomammillary nucleus, dorsal part",-0.11453287421383312
Nucleus of the posterior commissure,-0.11390173171904952
Piriform area,-0.1121698582348085
Subparaventricular zone,-0.10977421053566913
"Agranular insular area, posterior part, layer 5",-0.10700440139512733
"anterior commissure, temporal limb",-0.10578485637806728
brachium of the inferior colliculus,-0.10506181245857768
"Anteromedial nucleus, ventral part",-0.10374468428292619
"Primary somatosensory area, barrel field, layer 6b",-0.103485991314584
"Primary motor area, Layer 6a",-0.09679253562357953
Pontine reticular nucleus,-0.09545715439538827
supraoptic commissures,-0.09458135996226344
Zona incerta,-0.0935080035590092
Central lateral nucleus of the thalamus,-0.08995907263231315
Xiphoid thalamic nucleus,-0.08969880003944838
"Primary somatosensory area, barrel field, layer 4",-0.08795915648151773
"Supplemental somatosensory area, layer 6a",-0.08466889012424306
"Primary visual area, layer 6a",-0.0831518427908786
external capsule,-0.08073244252604372
"Visceral area, layer 5",-0.07363706622894252
Nucleus of the brachium of the inferior colliculus,-0.07332194902027803
"Gustatory areas, layer 2/3",-0.07270910193512997
Submedial nucleus of the thalamus,-0.05957625318440499
"Anterior cingulate area, dorsal part, layer 5",-0.05265361748493423
"Inferior colliculus, external nucleus",-0.05039097251755126
Ectorhinal area/Layer 1,-0.04567933874186539
fasciculus retroflexus,-0.04435832558095576
"Basomedial amygdalar nucleus, anterior part",-0.039565015595618674
