Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
1035;Supplemental somatosensory area, layer 4;1622481;1622480.512314;pixels;74;8637;8637;pixels;0.005323;;;;;;;;;;;;;;
1090;Supplemental somatosensory area, layer 5;3014885;3014885.280594;pixels;139;14575;14575;pixels;0.004834;;;;;;;;;;;;;;
862;Supplemental somatosensory area, layer 6a;2772305;2772304.974106;pixels;142;16094;16094;pixels;0.005805;;;;;;;;;;;;;;
893;Supplemental somatosensory area, layer 6b;277595;277595.233673;pixels;15;1789;1789;pixels;0.006445;;;;;;;;;;;;;;
1057;Gustatory areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
36;Gustatory areas, layer 1;237083;237083.068192;pixels;11;1408;1408;pixels;0.005939;;;;;;;;;;;;;;
180;Gustatory areas, layer 2/3;481087;481087.039139;pixels;26;3235;3235;pixels;0.006724;;;;;;;;;;;;;;
148;Gustatory areas, layer 4;186220;186219.543655;pixels;9;1250;1250;pixels;0.006713;;;;;;;;;;;;;;
187;Gustatory areas, layer 5;706553;706552.895584;pixels;30;3248;3248;pixels;0.004597;;;;;;;;;;;;;;
638;Gustatory areas, layer 6a;594484;594484.278107;pixels;30;3540;3540;pixels;0.005955;;;;;;;;;;;;;;
662;Gustatory areas, layer 6b;55095;55095.377304;pixels;2;294;294;pixels;0.005336;;;;;;;;;;;;;;
677;Visceral area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
897;Visceral area, layer 1;469397;469397.404007;pixels;9;888;888;pixels;0.001892;;;;;;;;;;;;;;
1106;Visceral area, layer 2/3;764920;764919.521881;pixels;40;4752;4752;pixels;0.006212;;;;;;;;;;;;;;
1010;Visceral area, layer 4;273085;273084.777054;pixels;17;1443;1443;pixels;0.005284;;;;;;;;;;;;;;
1058;Visceral area, layer 5;1010986;1010985.637192;pixels;36;4123;4123;pixels;0.004078;;;;;;;;;;;;;;
857;Visceral area, layer 6a;742507;742507.471115;pixels;30;3782;3782;pixels;0.005094;;;;;;;;;;;;;;
849;Visceral area, layer 6b;70680;70680.237900;pixels;4;465;465;pixels;0.006579;;;;;;;;;;;;;;
247;Auditory areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1011;Dorsal auditory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
527;Dorsal auditory area, layer 1;219098;219098.495544;pixels;23;2974;2974;pixels;0.013574;;;;;;;;;;;;;;
600;Dorsal auditory area, layer 2/3;339958;339958.158096;pixels;42;4996;4996;pixels;0.014696;;;;;;;;;;;;;;
678;Dorsal auditory area, layer 4;131729;131728.709137;pixels;13;1486;1486;pixels;0.011281;;;;;;;;;;;;;;
252;Dorsal auditory area, layer 5;308253;308253.487366;pixels;21;2606;2606;pixels;0.008454;;;;;;;;;;;;;;
156;Dorsal auditory area, layer 6a;161774;161773.583710;pixels;7;703;703;pixels;0.004346;;;;;;;;;;;;;;
243;Dorsal auditory area, layer 6b;23219;23218.539200;pixels;1;167;167;pixels;0.007193;;;;;;;;;;;;;;
480149230;Laterolateral anterior visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149234;Laterolateral anterior visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149238;Laterolateral anterior visual area, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149242;Laterolateral anterior visual area, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149246;Laterolateral anterior visual area,layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149250;Laterolateral anterior visual area, layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149254;Laterolateral anterior visual area, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1002;Primary auditory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
735;Primary auditory area, layer 1;186020;186020.320663;pixels;18;2131;2131;pixels;0.011456;;;;;;;;;;;;;;
251;Primary auditory area, layer 2/3;239798;239798.136383;pixels;43;6915;6915;pixels;0.028837;;;;;;;;;;;;;;
816;Primary auditory area, layer 4;113616;113616.139496;pixels;9;1293;1293;pixels;0.011380;;;;;;;;;;;;;;
847;Primary auditory area, layer 5;341243;341242.587341;pixels;43;5971;5971;pixels;0.017498;;;;;;;;;;;;;;
954;Primary auditory area, layer 6a;112099;112098.633759;pixels;8;836;836;pixels;0.007458;;;;;;;;;;;;;;
1005;Primary auditory area, layer 6b;14888;14888.131348;pixels;1;147;147;pixels;0.009874;;;;;;;;;;;;;;
1027;Posterior auditory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
696;Posterior auditory area, layer 1;38006;38006.268005;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
643;Posterior auditory area, layer 2/3;40007;40006.597900;pixels;6;627;627;pixels;0.015672;;;;;;;;;;;;;;
759;Posterior auditory area, layer 4;23718;23718.197327;pixels;10;1068;1068;pixels;0.045029;;;;;;;;;;;;;;
791;Posterior auditory area, layer 5;47436;47436.394653;pixels;24;2885;2885;pixels;0.060818;;;;;;;;;;;;;;
249;Posterior auditory area, layer 6a;25433;25432.765808;pixels;8;921;921;pixels;0.036213;;;;;;;;;;;;;;
456;Posterior auditory area, layer 6b;6001;6000.989685;pixels;2;468;468;pixels;0.077987;;;;;;;;;;;;;;
1018;Ventral auditory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
959;Ventral auditory area, layer 1;268453;268452.728607;pixels;50;5710;5710;pixels;0.021270;;;;;;;;;;;;;;
755;Ventral auditory area, layer 2/3;369199;369199.270355;pixels;51;7585;7585;pixels;0.020544;;;;;;;;;;;;;;
990;Ventral auditory area, layer 4;181998;181998.488312;pixels;21;2744;2744;pixels;0.015077;;;;;;;;;;;;;;
1023;Ventral auditory area, layer 5;420653;420653.132477;pixels;72;9285;9285;pixels;0.022073;;;;;;;;;;;;;;
520;Ventral auditory area, layer 6a;230203;230203.203629;pixels;19;2173;2173;pixels;0.009439;;;;;;;;;;;;;;
598;Ventral auditory area, layer 6b;29636;29635.963226;pixels;1;71;71;pixels;0.002396;;;;;;;;;;;;;;
669;Visual areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
801;Visual areas, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
561;Visual areas, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
913;Visual areas, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
937;Visual areas, layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
457;Visual areas, layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
497;Visual areas, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
402;Anterolateral visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1074;Anterolateral visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
905;Anterolateral visual area, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1114;Anterolateral visual area, layer 4;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
233;Anterolateral visual area, layer 5;20141;20140.942932;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
601;Anterolateral visual area, layer 6a;43334;43333.543884;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
649;Anterolateral visual area, layer 6b;10376;10375.637268;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
394;Anteromedial visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
281;Anteromedial visual area, layer 1;135933;135932.869553;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1066;Anteromedial visual area, layer 2/3;203924;203923.755585;pixels;20;3044;3044;pixels;0.014927;;;;;;;;;;;;;;
401;Anteromedial visual area, layer 4;50529;50529.049652;pixels;10;1021;1021;pixels;0.020206;;;;;;;;;;;;;;
433;Anteromedial visual area, layer 5;179904;179904.012268;pixels;53;7106;7106;pixels;0.039499;;;;;;;;;;;;;;
1046;Anteromedial visual area, layer 6a;88801;88800.972870;pixels;14;1858;1858;pixels;0.020923;;;;;;;;;;;;;;
